N,Nᵤ,δ_nS,duration,seed,method,TPRₑ,TPRᵢ,TPR,FPR,AUC,AUCₑ,AUCᵢ
1600,100,0.08,600.0,3,STA_height,0.1484375,0.378125,0.194375,0.06,0.38924062499999984,0.37288281249999994,0.4546718749999998
1600,100,0.08,600.0,3,STA_corr_2pass,0.0,0.0,0.0,0.05,0.0073750000000000005,0.00921875,0.0
1600,100,0.08,600.0,3,fit_upstroke,0.415625,0.825,0.4975,0.05,0.82148125,0.7860703125,0.9631249999999992
1600,100,0.08,600.0,4,fit_upstroke,0.51875,0.85625,0.58625,0.05,0.8288312500000001,0.7985468750000002,0.9499687500000001
1600,100,0.08,600.0,4,STA_corr_2pass,0.0,0.0,0.0,0.06,0.0060281250000000005,0.007535156250000001,0.0
1600,100,0.08,600.0,4,STA_height,0.1765625,0.4125,0.22375,0.06,0.40704375,0.3917812500000001,0.46809375000000003
1600,100,0.08,600.0,5,STA_corr_2pass,0.0,0.0,0.0,0.07,0.0070125000000000005,0.008765624999999999,0.0
1600,100,0.08,600.0,5,STA_height,0.140625,0.38125,0.18875,0.05,0.39526875,0.37330078125000005,0.48314062499999955
1600,100,0.08,600.0,5,fit_upstroke,0.3125,0.7125,0.3925,0.05,0.7993750000000004,0.7637265625000005,0.9419687500000011
6500,100,0.02,600.0,1,STA_corr_2pass,0.007692307692307693,0.0015384615384615385,0.006461538461538461,0.06,0.08591923076923076,0.09825576923076922,0.03657307692307692
6500,100,0.02,600.0,1,fit_upstroke,0.06557692307692307,0.15846153846153846,0.08415384615384615,0.05,0.44518,0.41444615384615385,0.5681153846153847
6500,100,0.02,600.0,1,STA_height,0.02653846153846154,0.06846153846153846,0.034923076923076925,0.05,0.26056384615384615,0.2499875,0.30286923076923083
6500,100,0.02,600.0,2,fit_upstroke,0.033846153846153845,0.1,0.04707692307692308,0.05,0.460753846153846,0.4260538461538461,0.5995538461538462
6500,100,0.02,600.0,2,STA_height,0.018846153846153846,0.04461538461538461,0.024,0.04,0.24306307692307696,0.23385192307692304,0.2799076923076923
6500,100,0.02,600.0,2,STA_corr_2pass,0.009615384615384616,0.0007692307692307692,0.007846153846153846,0.05,0.10153461538461538,0.11738942307692309,0.038115384615384613
6500,100,0.02,600.0,3,STA_height,0.018846153846153846,0.04692307692307692,0.02446153846153846,0.05,0.21846384615384618,0.2079048076923077,0.2607
6500,100,0.02,600.0,3,STA_corr_2pass,0.004807692307692308,0.002307692307692308,0.0043076923076923075,0.05,0.08494153846153844,0.09621538461538459,0.03984615384615385
6500,100,0.02,600.0,3,fit_upstroke,0.10153846153846154,0.22692307692307692,0.1266153846153846,0.05,0.44499230769230746,0.4112288461538461,0.5800461538461539
6500,100,0.02,600.0,4,fit_upstroke,0.15115384615384617,0.2784615384615385,0.17661538461538462,0.05,0.4934138461538463,0.46245000000000014,0.6172692307692309
6500,100,0.02,600.0,4,STA_height,0.015769230769230768,0.05,0.022615384615384617,0.05,0.24106000000000005,0.23143173076923076,0.2795730769230769
6500,100,0.02,600.0,4,STA_corr_2pass,0.006923076923076923,0.0015384615384615385,0.005846153846153846,0.05,0.08885307692307692,0.1018326923076923,0.03693461538461538
6500,100,0.02,600.0,5,STA_height,0.032692307692307694,0.06692307692307692,0.039538461538461536,0.05,0.25486615384615385,0.2490163461538461,0.2782653846153845
6500,100,0.02,600.0,5,STA_corr_2pass,0.007307692307692308,0.0007692307692307692,0.006,0.04,0.12350923076923076,0.13713942307692306,0.06898846153846154
6500,100,0.02,600.0,5,fit_upstroke,0.07326923076923077,0.1523076923076923,0.08907692307692308,0.05,0.5043861538461539,0.47511923076923085,0.6214538461538462
